Sex,Age,Time_at_address,Res_status,Telephone,Occupation,Job_status,Time_employed,Time_bank,Liab_ref,Acc_ref,Home_Expn,Balance,Decision
M,21.9200000762939,0.5,owner,given,creative_,private_s,0,0,f,given,360,0,reject
F,16,0.165000006556511,owner,given,sales,private_s,1,2,t,given,320,1,reject
M,25.1700000762939,6,owner,given,creative_,private_s,1,3,f,given,0,0,accept
M,49.5800018310547,19,owner,given,unemploye,unemploye,0,1,f,given,94,0,reject
M,32.6699981689453,9,rent,not_given,productio,governmen,5,0,t,given,154,0,accept
M,44.25,0.5,owner,given,manager,private_s,10,0,f,oth_inst_,400,0,reject
M,48.1699981689453,7.625,owner,given,productio,governmen,15,12,f,given,0,790,accept
M,30.3299999237061,0.5,owner,given,driver,governmen,0,0,t,oth_inst_,252,0,reject
M,17.5799999237061,10,owner,given,productio,governmen,0,1,f,given,120,1,reject
F,47.25,0.75,owner,given,office_st,governmen,2,1,f,given,333,892,accept
M,40.9199981689453,0.834999978542328,owner,given,unemploye,unemploye,0,0,f,given,130,1,reject
M,25.5799999237061,0.33500000834465,owner,given,labourer,governmen,3,0,t,given,340,0,reject
M,22.0799999237061,11.460000038147,owner,given,labourer,private_s,1,0,t,given,100,1212,reject
F,49.8300018310547,13.585000038147,owner,given,labourer,governmen,8,0,t,given,0,0,accept
F,38.9199981689453,1.66499996185303,owner,given,sales,private_s,0,0,f,given,0,390,reject
F,20.4200000762939,10.5,rent,not_given,professio,governmen,0,0,t,given,154,32,reject
F,20.8299999237061,0.5,rent,not_given,executive,student,1,0,f,given,260,0,reject
F,25.25,13.5,rent,not_given,unemploye,unemploye,2,1,t,given,200,1,reject
M,23.9200000762939,0.665000021457672,owner,given,creative_,private_s,0,0,f,given,100,0,accept
M,41.9199981689453,0.419999986886978,owner,given,creative_,governmen,0,6,f,given,220,948,accept
M,28.3299999237061,5,owner,given,productio,private_s,11,0,t,given,70,0,accept
F,26.1700000762939,2,owner,given,labourer,private_s,0,0,t,given,276,1,reject
M,20.5,10,rent,not_given,creative_,private_s,2,0,f,oth_inst_,40,0,accept
M,22.5799999237061,1.5,rent,not_given,sales,private_s,0,0,t,given,120,67,reject
F,28.5,1,owner,given,office_st,private_s,1,2,t,given,167,500,reject
M,54.4199981689453,0.5,rent,not_given,labourer,governmen,3,0,f,given,180,314,accept
M,19.4200000762939,7.25,owner,given,manager,private_s,0,1,f,given,100,1,reject
M,28.6700000762939,9.33500003814697,owner,given,office_st,governmen,5,6,f,given,381,168,accept
F,18.8299999237061,9.53999996185303,owner,given,sales,private_s,0,0,f,given,100,0,accept
M,59.5,2.75,owner,given,productio,private_s,1,5,t,given,60,58,accept
F,24.5,0.5,owner,given,office_st,governmen,1,0,f,given,280,824,accept
M,44.3300018310547,0.5,owner,given,guard_etc,governmen,5,0,t,given,320,0,accept
M,47.6699981689453,2.5,owner,given,manager,self_empl,2,12,t,given,410,2510,accept
M,18.1700000762939,2.46000003814697,owner,given,creative_,military,0,2,t,given,160,587,reject
M,20.75,5.08500003814697,rent,not_given,labourer,private_s,0,0,f,given,140,184,reject
M,27.25,1.58500003814697,owner,given,semi_pro,governmen,1,12,t,given,583,713,accept
M,34.9199981689453,5,owner,given,professio,governmen,7,6,t,given,0,1000,accept
F,58.6699981689453,4.46000003814697,owner,given,office_st,governmen,3,6,f,given,43,560,accept
M,20.6700000762939,1.25,rent,not_given,creative_,governmen,1,3,t,given,140,210,reject
M,25.6700000762939,0.28999999165535,rent,not_given,creative_,private_s,1,0,t,given,160,0,reject
M,36.1699981689453,0.419999986886978,rent,not_given,productio,private_s,0,0,t,given,309,2,reject
F,32.1699981689453,1.46000003814697,owner,given,productio,private_s,1,16,f,given,120,2079,accept
M,21.1700000762939,0.25,rent,not_given,creative_,governmen,0,0,f,given,280,204,reject
M,20.4200000762939,1.08500003814697,owner,given,office_st,private_s,1,0,f,given,108,7,reject
M,40.25,21.5,owner,given,executive,retired,20,11,f,given,0,1200,accept
M,20.6700000762939,0.41499999165535,owner,given,creative_,private_s,0,0,f,given,0,44,reject
M,67.75,5.5,owner,given,executive,retired,13,1,t,given,0,0,accept
M,31,2.08500003814697,owner,given,creative_,private_s,0,0,f,given,300,0,reject
F,26.5799999237061,2.53999996185303,rent,not_given,unemploye,unemploye,0,0,t,given,180,60,reject
M,30.0799999237061,1.03999996185303,rent,not_given,guard_etc,self_empl,0,10,t,given,132,28,reject
F,26.9200000762939,13.5,owner,given,office_st,governmen,5,2,f,given,0,5000,accept
M,48.75,8.5,owner,given,creative_,governmen,12,9,f,given,181,1655,accept
F,24.5,1.75,rent,not_given,creative_,private_s,0,0,f,given,132,0,reject
M,21.6700000762939,1.16499996185303,rent,not_given,labourer,private_s,2,1,f,given,180,20,reject
F,24.3299999237061,2.5,rent,not_given,guard_etc,self_empl,4,0,f,given,200,456,reject
F,23.5,9,owner,given,office_st,private_s,8,5,t,given,120,0,accept
F,30,5.28999996185303,owner,given,executive,student,2,5,t,given,99,500,accept
F,20.3299999237061,10,owner,given,creative_,governmen,1,4,f,given,50,1465,accept
F,46,4,owner,given,labourer,private_s,0,0,f,given,100,960,accept
M,34.6699981689453,1.08000004291534,owner,given,manager,private_s,1,0,f,oth_inst_,28,0,reject
F,24.5,2.41499996185303,rent,not_given,creative_,private_s,0,0,f,given,120,0,reject
F,29.5799999237061,1.75,rent,not_given,labourer,private_s,1,0,t,given,280,0,reject
F,25.3299999237061,2.08500003814697,owner,given,creative_,governmen,2,0,t,given,360,1,reject
M,29.8299999237061,2.03999996185303,rent,not_given,professio,governmen,0,0,f,given,128,1,reject
F,18.25,10,owner,given,productio,private_s,1,1,f,given,120,1,reject
M,25.8299999237061,12.835000038147,owner,given,semi_pro,private_s,0,0,f,given,0,2,reject
M,25.1700000762939,3,owner,given,creative_,private_s,1,1,f,given,0,22,reject
F,20.75,10.25,owner,given,office_st,private_s,0,2,t,given,49,0,accept
M,18.0799999237061,5.5,owner,given,labourer,private_s,0,0,f,given,80,0,accept
M,37.3300018310547,6.5,owner,given,manager,governmen,4,12,t,given,93,0,accept
F,53.3300018310547,0.165000006556511,owner,given,unemploye,unemploye,0,0,t,oth_inst_,62,27,reject
M,31.25,1.125,owner,given,unemploye,unemploye,0,1,f,given,96,19,reject
M,36.5,4.25,owner,given,office_st,private_s,3,0,f,given,454,50,reject
M,22.1700000762939,0.584999978542328,rent,not_given,unemploye,unemploye,0,0,f,given,100,0,reject
M,43,0.28999999165535,rent,not_given,semi_pro,governmen,1,8,f,given,100,375,accept
M,52.3300018310547,1.375,rent,not_given,creative_,governmen,9,0,t,given,200,100,reject
M,21.8299999237061,0.25,owner,given,driver,governmen,0,0,t,given,0,0,accept
M,25.6700000762939,3.25,owner,given,creative_,governmen,2,1,t,given,416,21,reject
F,22.6700000762939,0.75,owner,given,creative_,private_s,2,2,t,given,200,394,reject
F,33.6699981689453,0.375,owner,given,semi_pro,private_s,0,0,f,given,300,44,accept
F,21.6700000762939,11.5,rent,not_given,labourer,private_s,0,11,t,given,0,0,accept
M,62.75,7,owner,given,executive,retired,0,0,f,given,0,12,reject
M,23.3299999237061,11.625,rent,not_given,productio,private_s,0,0,t,given,160,300,accept
M,31.3299999237061,19.5,owner,given,creative_,private_s,7,16,f,given,0,5000,accept
M,25,12,owner,given,labourer,private_s,2,2,t,given,120,5,reject
M,40.5800018310547,3.28999996185303,owner,given,manager,private_s,3,0,t,oth_inst_,400,0,reject
M,25.75,0.75,owner,given,creative_,self_empl,0,0,f,given,349,23,accept
M,49.5,7.58500003814697,owner,given,guard_etc,self_empl,7,15,t,given,0,5000,accept
M,18.25,0.165000006556511,owner,given,driver,private_s,0,0,t,oth_inst_,280,0,reject
F,38.3300018310547,4.41499996185303,owner,given,creative_,private_s,0,0,f,given,160,0,reject
M,44.8300018310547,7,rent,not_given,creative_,private_s,1,0,f,given,160,2,reject
M,31.5799999237061,0.75,rent,not_given,sales,private_s,3,0,t,given,320,0,reject
M,25.9200000762939,0.875,owner,given,labourer,private_s,0,2,t,given,174,3,reject
M,42.75,3,owner,given,guard_etc,self_empl,1,0,f,given,0,200,reject
M,17.0799999237061,0.0850000008940697,rent,not_given,creative_,private_s,0,0,f,given,140,722,reject
M,28.1700000762939,0.125,rent,not_given,labourer,private_s,0,0,f,given,216,2100,reject
M,17.9200000762939,0.204999998211861,owner,given,sales,private_s,0,0,f,given,280,750,reject
M,25.4200000762939,0.540000021457672,owner,given,productio,private_s,0,1,f,given,272,444,reject
M,30.6700000762939,2.5,owner,given,semi_pro,governmen,2,0,t,oth_inst_,340,0,reject
M,34.1699981689453,2.75,owner,given,guard_etc,self_empl,2,0,t,given,232,200,reject
F,22.25,1.25,rent,not_given,unemploye,unemploye,3,0,f,given,280,0,reject
M,23.3299999237061,1.5,owner,given,creative_,governmen,1,0,f,given,422,200,accept
M,21,4.78999996185303,rent,not_given,productio,private_s,2,1,t,given,80,300,accept
M,27.75,1.28999996185303,owner,given,labourer,governmen,0,0,t,oth_inst_,140,0,reject
